DEPTH,ATTENUATION,FREQUENCY,BAND,PERMITTIVITY,PERMITTIVITY,WETNESS,DENSITY,WETNESS,Sample Length,Cumulative Snow,Sample Mass,Cumulative Mass
215,847,651.4,12.5,1.86,0,0,0.428,0,5,2.15,0.021,0.679
220,876,650.2,12.5,1.87,0,0,0.431,0,5,2.20,0.022,0.701
225,805,659.6,14.8,1.81,0.005,0.69,0.387,1.7,5,2.25,0.019,0.720
230,814,667.6,14.8,1.77,0.004,0.54,0.372,1.4,5,2.30,0.019,0.739
235,808,640.7,12,1.92,0,0,0.454,0,5,2.35,0.023,0.762
240,836,655.1,12.8,1.84,0,0,0.42,0,5,2.40,0.021,0.783
245,883,650.6,12.2,1.87,0,0,0.43,0,5,2.45,0.022,0.804
250,745,646.8,13.7,1.89,0.004,0.56,0.424,1.3,5,2.50,0.021,0.825
255,787,648.6,13.2,1.88,0.002,0.28,0.428,0.6,5,2.55,0.021,0.847
260,826,650,13,1.87,0.001,0.14,0.428,0.2,5,2.60,0.021,0.868
265,732,642.1,12.2,1.91,0,0,0.451,0,5,2.65,0.023,0.891
270,734,639,13,1.93,0.003,0.42,0.447,0.9,5,2.70,0.022,0.913
275,908,648.3,12.3,1.88,0,0,0.436,0,5,2.75,0.022,0.935
280,792,660.3,15.3,1.81,0.006,0.83,0.381,2.1,5,2.80,0.019,0.954
285,876,649.2,12.5,1.87,0,0,0.433,0,5,2.85,0.022,0.975
290,878,653.3,12.3,1.85,0,0,0.424,0,5,2.90,0.021,0.997
295,894,654.2,12.5,1.85,0,0,0.422,0,5,2.95,0.021,1.018
300,788,642.5,13,1.91,0.002,0.28,0.442,0.5,5,3.00,0.022,1.040
305,726,637.1,12.8,1.94,0.002,0.28,0.455,0.5,5,3.05,0.023,1.063
310,771,643.6,13.2,1.91,0.003,0.42,0.436,0.9,5,3.10,0.022,1.084
315,794,654.8,13.3,1.84,0.001,0.13,0.416,0.2,5,3.15,0.021,1.105
320,692,634.8,13.3,1.96,0.004,0.57,0.453,1.2,5,3.20,0.023,1.128
325,669,633.6,13.2,1.97,0.004,0.57,0.455,1.2,5,3.25,0.023,1.151
330,761,639.6,12.2,1.93,0,0,0.457,0,5,3.30,0.023,1.173
335,700,638.5,13,1.94,0.003,0.42,0.448,0.9,5,3.35,0.022,1.196
340,899,671.4,13.5,1.75,0,0,0.38,0,5,3.40,0.019,1.215
345,1043,675.2,13,1.73,0,0,0.371,0,5,3.45,0.019,1.233
350,974,672.9,13.5,1.74,0,0,0.377,0,5,3.50,0.019,1.252
355,1041,672.6,13.2,1.74,0,0,0.378,0,5,3.55,0.019,1.271
360,1074,680.2,13,1.71,0,0,0.359,0,5,3.60,0.018,1.289
365,1110,673.6,12.8,1.74,0,0,0.375,0,5,3.65,0.019,1.308
370,863,669.4,14.5,1.76,0.003,0.4,0.372,1,5,3.70,0.019,1.326
375,871,666.6,14.8,1.78,0.004,0.54,0.374,1.4,5,3.75,0.019,1.345
380,876,643.9,8.5,1.9,0,0,0.446,0,5,3.80,0.022,1.367
385,869,652.4,12.5,1.85,0,0,0.426,0,5,3.85,0.021,1.389
5,1018,804.2,18,1.22,0,0,0.117,0,5,0.05,0.006,0.006
10,1379,818.3,16.3,1.18,0,0,0.093,0,5,0.10,0.005,0.011
15,752,739.4,13.5,1.44,0,0,0.236,0,5,0.15,0.012,0.022
20,760,734.8,13.7,1.46,0,0,0.245,0,5,0.20,0.012,0.035
25,728,729.8,15.3,1.48,0,0,0.254,0,5,0.25,0.013,0.047
30,736,731.2,15,1.48,0,0,0.251,0,5,0.30,0.013,0.060
35,893,705.8,13.3,1.58,0,0,0.302,0,5,0.35,0.015,0.075
40,739,737.3,13.3,1.45,0,0,0.24,0,5,0.40,0.012,0.087
45,747,734.2,13.5,1.46,0,0,0.245,0,5,0.45,0.012,0.099
50,688,722.7,15.5,1.51,0,0,0.268,0,5,0.50,0.013,0.113
55,677,726.1,19.2,1.5,0.007,0.87,0.231,3.7,5,0.55,0.012,0.124
60,681,723.4,15.5,1.51,0,0,0.266,0,5,0.60,0.013,0.137
65,700,726.7,15,1.49,0,0,0.26,0,5,0.65,0.013,0.150
70,644,720.3,16.7,1.52,0.003,0.37,0.26,1.4,5,0.70,0.013,0.163
75,665,724.7,15.5,1.5,0,0,0.264,0,5,0.75,0.013,0.177
80,745,710.2,14,1.56,0,0,0.293,0,5,0.80,0.015,0.191
85,780,707.7,13.5,1.58,0,0,0.298,0,5,0.85,0.015,0.206
90,708,730.3,15.3,1.48,0,0,0.253,0,5,0.90,0.013,0.219
95,741,698.4,15.5,1.62,0.002,0.26,0.309,0.8,5,0.95,0.015,0.234
100,871,685.3,14.3,1.68,0.001,0.13,0.343,0.3,5,1.00,0.017,0.251
105,903,685.7,14.5,1.68,0.001,0.13,0.343,0.3,5,1.05,0.017,0.269
110,868,685.6,14.2,1.68,0,0,0.347,0,5,1.10,0.017,0.286
115,772,699.3,15.3,1.61,0.002,0.26,0.307,0.8,5,1.15,0.015,0.301
120,784,701.4,14.5,1.6,0,0,0.311,0,5,1.20,0.016,0.317
125,917,683.1,13.2,1.69,0,0,0.353,0,5,1.25,0.018,0.334
130,943,682.5,13,1.69,0,0,0.354,0,5,1.30,0.018,0.352
135,973,680.4,9.5,1.7,0,0,0.359,0,5,1.35,0.018,0.370
140,805,687.3,15.3,1.67,0.003,0.39,0.33,1.1,5,1.40,0.017,0.387
145,982,679.7,13.5,1.71,0,0,0.361,0,5,1.45,0.018,0.405
150,994,678.2,13,1.72,0,0,0.364,0,5,1.50,0.018,0.423
155,827,686.4,14.5,1.67,0.001,0.13,0.34,0.3,5,1.55,0.017,0.440
160,935,680.4,13.5,1.7,0,0,0.359,0,5,1.60,0.018,0.458
165,963,676.6,13.8,1.72,0,0,0.368,0,5,1.65,0.018,0.476
170,896,671.8,13.7,1.75,0.001,0.13,0.376,0.3,5,1.70,0.019,0.495
175,834,659.8,14.3,1.81,0.004,0.55,0.391,1.3,5,1.75,0.020,0.515
180,859,656.9,13.5,1.83,0.002,0.27,0.408,0.6,5,1.80,0.020,0.535
185,858,669,14,1.76,0.002,0.27,0.377,0.6,5,1.85,0.019,0.554
190,918,672.4,13.5,1.75,0,0,0.378,0,5,1.90,0.019,0.573
195,923,672.8,13.3,1.74,0,0,0.378,0,5,1.95,0.019,0.592
200,778,664.3,15.3,1.79,0.006,0.82,0.37,2.1,5,2.00,0.019,0.610
205,857,647.9,12.5,1.88,0,0,0.437,0,5,2.05,0.022,0.632
210,905,649.7,12.5,1.87,0,0,0.433,0,5,2.10,0.022,0.654
215,884,654.7,12,1.84,0,0,0.421,0,5,2.15,0.021,0.675
220,921,651.6,11.8,1.86,0,0,0.428,0,5,2.20,0.021,0.696
225,866,669.6,14.2,1.76,0.002,0.27,0.376,0.6,5,2.25,0.019,0.715
230,867,647.9,12.5,1.88,0,0,0.437,0,5,2.30,0.022,0.737
235,919,651,12,1.86,0,0,0.429,0,5,2.35,0.021,0.758
240,804,659.8,14.7,1.81,0.005,0.69,0.386,1.7,5,2.40,0.019,0.777
245,873,654.8,12.3,1.84,0,0,0.42,0,5,2.45,0.021,0.798
250,867,650.4,12.5,1.87,0,0,0.431,0,5,2.50,0.022,0.820
